event_id,event_date,event_time,aircraft_registration,operator,event_type,event_classification,event_location,inspection_location,consequences,description
387,27/08/2026,20:05,RA-11111,Россия,Нарушение процедуры,Аэродромно-производственное событие,Перрон 8,Шереметьево,Минимальные,Нарушение требований безопасности
388,2026-08-29,10:40,VQ-BHM,РОССИЯ ,Повреждение ВС,АПС,Перрон 4,Домодедово,Нет,Обнаружено повреждение
389,29.08.2026,16.20,RA-12121,Aeroflot,Отклонение от регламента,Аэродромно-производственное событие,Перрон 10,Шереметьево,Минимальные,Выявлено отклонение
390,2026-09-01,21:35,VQ-BHN,Аэрофлoт,Нарушение процедуры,АПС,РД-2,Шереметьево,Незначительные,Нарушена процедура контроля
391,2026-09-03,08:30,RA-13131,S7 Airlines,Повреждение ВС,Аэродромно-производственное событие,Перрон 5,Домодедово,Нет,Выявлено повреждение корпуса
392,03.09.2026,15:00,VQ-BHO,S7,Посторонний предмет,АПС,Перрон 7,Шереметьево,Нет,Обнаружен предмет
393,2026/09/05,19:40,RA-14141,Победа,Нарушение процедуры,Аэродромно-производственное событие,Стоянка 9,Внуково,Незначительные,Нарушение порядка работ
394,2026-09-07,07:10,VQ-BHP,победа,Повреждение ВС,АПС,Перрон 3,Внуково,Нет,Повреждение поверхности
395,07.09.2026,13:50,RA-15151,Уральские авиалинии,Отклонение от регламента,Аэродромно-производственное событие,Перрон 12,Домодедово,Минимальные,Несоответствие инструкции
396,2026-09-10,18:35,VQ-BHQ,Уральские авиалинии ,Посторонний предмет,АПС,Перрон 6,Шереметьево,Нет,Обнаружен объект возле ВС
397,2026-09-12,22:20,RA-16161,Аэрофлот,Повреждение ВС,Аэродромно-производственное событие,Стоянка 4,Шереметьево,Нет,Обнаружено повреждение
398,12.09.2026,0640,VQ-BHR,АЭРОФЛОТ,Нарушение процедуры,АПС,Перрон 2,Шереметьево,Незначительные,Нарушен порядок обслуживания
399,2026-09-15,11:15,RA-17171,S7 Airlines,Посторонний предмет,Аэродромно-производственное событие,РД-1,Домодедово,Нет,Обнаружен инструмент
400,2026-09-17,17:30,VQ-BHS,C7,Повреждение ВС,АПС,Перрон 8,Внуково,Нет,Повреждение после работ
401,2026-09-19,09:05,RA-18181,Аэрофлот,Отклонение от регламента,Аэродромно-производственное событие,Перрон 7,Шереметьево,Минимальные,Выявлено нарушение требований
402,19.09.2026,14:45,VQ-BHT,аэрофлот,Нарушение процедуры,АПС,Стоянка 10,Шереметьево,Незначительные,Нарушение контроля
403,2026/09/22,18:15,RA-19191,S7 Airlines,Повреждение ВС,Аэродромно-производственное событие,Перрон 4,Домодедово,Нет,Выявлено повреждение
404,2026-09-24,23:00,VQ-BHU,S7 airlines,Посторонний предмет,АПС,Перрон 9,Шереметьево,Нет,Обнаружен объект
405,24.09.2026,06:30,RA-20202,Победа,Нарушение процедуры,Аэродромно-производственное событие,Стоянка 3,Внуково,Минимальные,Нарушение порядка
406,2026-09-27,12:35,VQ-BHV,Победаа,Повреждение ВС,АПС,Перрон 6,Внуково,Нет,Обнаружено повреждение
407,27/09/2026,20:15,RA-21212,Россия,Отклонение от регламента,Аэродромно-производственное событие,Перрон 8,Шереметьево,Минимальные,Выявлено несоответствие
408,2026-09-29,10:25,VQ-BHW,РОССИЯ ,Посторонний предмет,АПС,Перрон 4,Домодедово,Нет,Обнаружен предмет
